Skill,Year,Level
SQL,2013,2
SQL,2014,3
SQL,2015,3
SQL,2016,3
SQL,2017,5
SQL,2018,6
SQL,2019,7
SQL,2020,7
SQL,2021,8
SQL,2022,9
SQL,2023,9
Powershell,2017,1
Powershell,2018,4
Powershell,2019,6
Powershell,2020,6
Powershell,2021,8
Powershell,2022,8
Powershell,2023,9
Python,2020,1
Python,2021,2
Python,2022,2
Python,2023,3
Azure,2018,1
Azure,2019,2
Azure,2020,5
Azure,2021,6
Azure,2022,7
Azure,2023,8
AzureDevops,2018,1
AzureDevops,2019,4
AzureDevops,2020,5
AzureDevops,2021,5
AzureDevops,2022,7
AzureDevops,2023,9
Yaml Pipelines,2021,1
Yaml Pipelines,2022,5
Yaml Pipelines,2023,8
MongoDB,2021,1
MongoDB,2022,2
MongoDB,2023,5
C#,2021,1
C#,2022,3
C#,2023,5
Javascript,2021,1
Javascript,2022,2
Javascript,2023,3
GoogleBigQuery,2021,1
GoogleBigQuery,2022,3
GoogleBigQuery,2023,4
